500,0.000186,0.000177,0.000189,0.000177,
2000,0.002217,0.002262,0.002283,0.002649,
4000,0.017930,0.017455,0.010328,0.012791,
6000,0.030337,0.039282,0.028967,0.028526,
8000,0.055449,0.059838,0.057065,0.057697,
10000,0.098638,0.104214,0.101967,0.101066,
12000,0.150128,0.154042,0.156762,0.142596,
14000,0.211397,0.218747,0.206253,0.216653,
16000,0.287623,0.285234,0.294683,0.311698,
18000,0.381689,0.400343,0.373186,0.376131,
20000,0.464249,0.472101,0.470615,0.470464,
